product_id,customer_id,rating
102432143,9053105,4
102432143,22044184,1
102432143,26934981,1
102432143,23934098,5
102432143,26539926,4
102432143,1124740,1
102432143,22695070,5
102432143,1063872,1
102432143,8582497,2
102432143,29041219,5
8420031,21537108,1
8420031,23004274,5
8420031,7189180,5
8420031,15138259,5
8420031,1599611,2
8420031,470296,5
8420031,25519747,4
8420031,23601573,5
8420031,5283885,5
8420031,6124786,2
684651,13528724,4
684651,18822851,5
684651,1308176,4
684651,2083331,1
684651,227484,4
684651,515463,4
684651,10177293,5
684651,1610077,3
684651,514476,5
684651,17862595,5
630207,945720,5
630207,7327007,3
630207,20126490,5
630207,27655523,1
630207,12772820,1
630207,61864,4
630207,562396,4
630207,19020398,5
630207,10818890,5
630207,10212848,1
173550857,14568892,3
173550857,772515,4
173550857,1753737,3
173550857,8523631,5
173550857,13419244,4
173550857,1663068,4
173550857,11039976,5
173550857,27172497,4
173550857,22006766,5
173550857,325648,4
102432143,9053105,4
102432143,22044184,1
102432143,26934981,1
102432143,23934098,5
102432143,26539926,4
102432143,1124740,1
102432143,22695070,5
102432143,1063872,1
102432143,8582497,2
102432143,29041219,5
48537880,328019,3
48537880,19184361,4
48537880,6315983,5
48537880,21340552,1
48537880,19358281,1
48537880,29058518,5
48537880,17581967,1
48537880,27721299,5
48537880,9074304,3
48537880,708680,4
72825272,1400795,3
72825272,18484390,2
72825272,481579,5
72825272,8659880,5
72825272,21609968,4
72825272,16164230,4
72825272,19873354,5
72825272,9789203,5
72825272,19548577,5
72825272,518803,4
72543784,13275976,5
72543784,618764,5
72543784,5557930,4
72543784,9848934,4
72543784,18833659,1
72543784,15293077,5
72543784,1975153,4
72543784,9152757,4
72543784,1425976,4
72543784,21570070,4
52293499,19646368,5
52293499,27426795,1
52293499,15658950,5
52293499,9129036,5
52293499,905205,1
52293499,148556,5
52293499,5086239,5
52293499,8077752,1
52293499,9755048,5
52293499,23043983,1
48537880,328019,3
48537880,19184361,4
48537880,6315983,5
48537880,21340552,1
48537880,19358281,1
48537880,29058518,5
48537880,17581967,1
